,depth,table,x,y,z,price,carat,cut,color,clarity,city
53,61.4,57.0,5.27,5.29,3.24,1786,0.55,Very Good,E,VS2,Dubai
54,59.5,57.0,7.03,7.15,4.22,9802,1.26,Very Good,E,VS2,Dubai
55,60.0,59.0,6.54,6.59,3.94,6915,1.02,Very Good,E,VS2,Dubai
56,59.8,62.0,4.52,4.54,2.71,659,0.34,Very Good,E,VS2,Dubai
57,62.7,57.0,6.31,6.36,3.97,6666,1.01,Very Good,E,VS2,Dubai
58,63.3,56.0,4.71,4.74,2.99,910,0.41,Very Good,E,VS2,Dubai
59,61.9,55.0,6.61,6.67,4.11,6776,1.1,Very Good,E,VS2,Dubai
60,61.5,59.0,5.21,5.23,3.21,1726,0.54,Very Good,E,VS2,Dubai
61,60.5,56.0,5.18,5.24,3.15,1656,0.51,Very Good,E,VS2,Dubai
62,61.1,57.0,5.33,5.38,3.27,1770,0.56,Very Good,E,VS2,Dubai
63,62.2,58.0,4.95,4.99,3.09,1243,0.46,Very Good,E,VS2,Dubai
64,63.0,58.0,5.07,5.09,3.2,1386,0.5,Very Good,E,VS2,Dubai
65,63.5,56.0,6.37,6.32,4.03,5633,1.0,Very Good,E,VS2,Dubai
66,62.7,58.0,7.52,7.6,4.74,17803,1.69,Very Good,E,VS2,Dubai
67,61.6,61.0,4.26,4.31,2.64,585,0.3,Very Good,E,VS2,Dubai
68,62.4,62.0,6.33,6.39,3.97,5544,1.0,Very Good,E,VS2,Dubai
69,63.5,58.0,6.36,6.34,4.03,6787,1.01,Very Good,E,VS2,Dubai
70,62.3,58.0,6.39,6.45,4.0,6310,1.01,Very Good,E,VS2,Dubai
71,63.0,57.0,4.12,4.16,2.61,470,0.27,Very Good,E,VS2,Dubai
72,61.9,56.0,5.75,5.79,3.57,2585,0.72,Very Good,E,VS2,Dubai
73,58.9,59.4,5.05,5.1,2.99,1345,0.46,Very Good,E,VS2,Dubai
74,60.4,63.0,4.68,4.72,2.84,791,0.4,Very Good,E,VS2,Dubai
75,61.6,58.0,6.43,6.49,3.98,6754,1.01,Very Good,E,VS2,Dubai
76,62.8,56.0,4.4,4.42,2.77,627,0.33,Very Good,E,VS2,Dubai
77,58.7,58.0,6.47,6.51,3.81,5997,0.96,Very Good,E,VS2,Dubai
78,63.1,58.0,5.21,5.13,3.26,1760,0.54,Very Good,E,VS2,Dubai
79,65.7,55.0,5.45,5.51,3.6,2437,0.7,Fair,E,VS2,Dubai
80,60.5,59.0,4.92,4.9,2.97,1107,0.43,Fair,E,VS2,Dubai
81,66.8,61.0,4.84,4.71,3.2,1070,0.46,Fair,E,VS2,Dubai
82,64.6,59.0,5.62,5.59,3.62,2902,0.71,Fair,E,VS2,Dubai
83,65.4,57.0,5.01,4.81,3.21,1397,0.5,Fair,E,VS2,Dubai
84,62.4,58.0,6.33,6.4,3.97,6248,1.0,Good,E,VS2,Dubai
85,62.3,63.0,5.22,5.27,3.27,1920,0.56,Good,E,VS2,Dubai
86,58.3,61.0,5.26,5.31,3.08,1673,0.52,Good,E,VS2,Dubai
87,64.0,58.0,6.07,6.02,3.87,4203,0.9,Good,E,VS2,Dubai
88,64.0,55.0,5.11,5.14,3.28,1607,0.53,Good,E,VS2,Dubai
89,57.4,58.0,6.61,6.57,3.78,6160,1.0,Good,E,VS2,Dubai
90,57.8,60.0,4.64,4.67,2.69,711,0.35,Good,E,VS2,Dubai
91,62.5,55.0,5.73,5.7,3.57,2693,0.7,Ideal,E,VS2,Dubai
92,62.8,55.0,5.21,5.24,3.28,1713,0.54,Ideal,E,VS2,Dubai
93,62.1,56.0,4.53,4.52,2.81,984,0.35,Ideal,E,VS2,Dubai
94,62.0,57.0,4.51,4.55,2.81,767,0.35,Ideal,E,VS2,Dubai
95,61.3,56.0,4.41,4.46,2.72,612,0.32,Ideal,E,VS2,Dubai
96,61.3,57.0,5.73,5.75,3.52,3504,0.7,Ideal,E,VS2,Dubai
97,60.6,59.0,5.1,5.2,3.12,1655,0.5,Ideal,E,VS2,Dubai
98,62.6,54.0,5.08,5.11,3.19,1624,0.5,Ideal,E,VS2,Dubai
99,61.4,56.0,4.32,4.34,2.66,795,0.3,Ideal,E,VS2,Dubai
100,61.7,56.0,4.82,4.8,2.97,1024,0.42,Ideal,E,VS2,Dubai
101,62.1,56.0,4.31,4.25,2.66,844,0.3,Ideal,E,VS2,Dubai
102,61.7,56.0,5.46,5.43,3.36,2225,0.61,Ideal,E,VS2,Dubai
103,61.8,56.0,4.32,4.29,2.66,844,0.3,Ideal,E,VS2,Dubai
104,62.9,57.0,4.35,4.3,2.72,872,0.31,Ideal,E,VS2,Dubai
105,62.1,55.0,4.35,4.32,2.69,844,0.3,Ideal,E,VS2,Dubai
106,61.5,56.0,5.38,5.42,3.32,1789,0.59,Ideal,E,VS2,Dubai
107,62.3,56.0,4.28,4.32,2.68,658,0.3,Ideal,E,VS2,Dubai
108,61.8,56.0,4.35,4.37,2.69,622,0.31,Ideal,E,VS2,Dubai
109,61.5,56.0,4.39,4.42,2.71,642,0.31,Ideal,E,VS2,Dubai
110,61.9,57.0,5.23,5.2,3.23,1847,0.54,Ideal,E,VS2,Dubai
111,62.0,54.0,4.41,4.37,2.72,900,0.32,Ideal,E,VS2,Dubai
112,61.8,54.0,4.76,4.79,2.95,935,0.41,Ideal,E,VS2,Dubai
113,62.5,56.0,5.26,5.23,3.28,2030,0.55,Ideal,E,VS2,Dubai
114,61.8,55.0,5.34,5.38,3.31,1851,0.57,Ideal,E,VS2,Dubai
115,61.5,56.0,4.59,4.62,2.83,811,0.37,Ideal,E,VS2,Dubai
116,60.9,55.0,4.73,4.76,2.89,839,0.39,Ideal,E,VS2,Dubai
117,61.0,54.0,5.43,5.39,3.3,2319,0.57,Ideal,E,VS2,Dubai
118,61.6,57.0,5.3,5.32,3.27,1625,0.56,Ideal,E,VS2,Dubai
119,60.5,56.0,4.41,4.38,2.66,872,0.31,Ideal,E,VS2,Dubai
120,62.1,55.0,4.32,4.35,2.69,658,0.3,Ideal,E,VS2,Dubai
121,62.0,56.0,5.11,5.15,3.18,1656,0.51,Ideal,E,VS2,Dubai
122,61.5,55.0,4.3,4.34,2.66,673,0.3,Ideal,E,VS2,Dubai
123,61.9,55.0,5.68,5.72,3.53,3773,0.71,Ideal,E,VS2,Dubai
124,61.7,55.0,4.66,4.68,2.88,866,0.38,Ideal,E,VS2,Dubai
125,61.5,56.0,5.92,5.89,3.63,3192,0.76,Ideal,E,VS2,Dubai
126,62.1,56.0,5.17,5.2,3.22,1576,0.52,Ideal,E,VS2,Dubai
127,61.4,56.0,5.33,5.42,3.3,1755,0.59,Ideal,E,VS2,Dubai
128,61.5,56.0,4.29,4.33,2.65,658,0.3,Ideal,E,VS2,Dubai
129,61.7,56.0,5.13,5.18,3.18,1708,0.52,Ideal,E,VS2,Dubai
130,61.5,55.0,4.34,4.31,2.66,844,0.3,Ideal,E,VS2,Dubai
131,61.9,55.0,4.34,4.38,2.7,680,0.31,Ideal,E,VS2,Dubai
132,61.1,56.0,5.77,5.79,3.53,3342,0.71,Ideal,E,VS2,Dubai
133,62.0,56.0,4.72,4.79,2.95,935,0.41,Ideal,E,VS2,Dubai
134,62.3,56.0,4.77,4.74,2.96,999,0.41,Ideal,E,VS2,Dubai
135,61.2,56.0,5.45,5.44,3.33,2189,0.6,Ideal,E,VS2,Dubai
136,62.1,57.0,6.38,6.41,3.97,7569,1.0,Ideal,E,VS2,Dubai
137,61.3,55.0,5.24,5.26,3.22,1613,0.54,Ideal,E,VS2,Dubai
138,62.8,55.0,5.21,5.17,3.26,1653,0.53,Ideal,E,VS2,Dubai
139,61.7,54.3,4.68,4.69,2.89,853,0.38,Ideal,E,VS2,Dubai
140,61.9,56.0,4.45,4.4,2.74,928,0.33,Ideal,E,VS2,Dubai
141,62.0,57.0,4.82,4.85,3.0,981,0.43,Ideal,E,VS2,Dubai
142,61.0,56.0,5.91,5.96,3.62,3303,0.77,Ideal,E,VS2,Dubai
143,60.5,57.0,7.56,7.5,4.56,12717,1.56,Ideal,E,VS2,Dubai
144,61.8,57.0,4.28,4.3,2.65,603,0.3,Ideal,E,VS2,Dubai
145,61.0,56.0,4.64,4.67,2.84,762,0.37,Ideal,E,VS2,Dubai
146,62.3,58.0,6.82,6.79,4.24,5962,1.21,Premium,I,VS2,Dubai
147,62.3,57.0,4.35,4.32,2.7,558,0.31,Premium,I,VS2,Dubai
148,61.1,60.0,8.06,8.12,4.94,17433,2.01,Premium,I,VS2,Dubai
149,58.5,60.0,8.37,8.34,4.89,16309,2.03,Premium,I,VS2,Dubai
150,59.2,62.0,8.17,8.14,4.83,16778,2.01,Premium,I,VS2,Dubai
151,60.7,59.0,8.28,8.33,5.04,17038,2.14,Premium,I,VS2,Dubai
152,62.2,59.0,6.03,5.97,3.73,2716,0.82,Premium,I,VS2,Dubai
153,58.7,60.0,6.35,6.28,3.7,2923,0.9,Premium,I,VS2,Dubai
154,62.9,55.0,5.12,5.08,3.21,1179,0.51,Premium,I,VS2,Dubai
155,62.5,58.0,7.52,7.45,4.68,9996,1.7,Premium,I,VS2,Dubai
156,60.1,59.0,7.63,7.6,4.58,10669,1.62,Premium,I,VS2,Dubai
157,62.8,60.0,6.68,6.59,4.17,5008,1.14,Premium,I,VS2,Dubai
158,62.6,59.0,6.63,6.69,4.17,4869,1.16,Very Good,I,VS2,Dubai
159,61.5,55.0,4.34,4.36,2.68,442,0.31,Very Good,I,VS2,Dubai
160,61.4,58.0,6.16,6.26,3.81,3445,0.9,Very Good,I,VS2,Dubai
161,63.0,60.0,6.15,6.17,3.88,3709,0.9,Very Good,I,VS2,Dubai
162,60.7,59.0,5.75,5.79,3.5,2025,0.7,Very Good,I,VS2,Dubai
163,58.5,59.0,7.81,7.89,4.59,11190,1.7,Very Good,I,VS2,Dubai
164,63.5,57.0,6.13,6.21,3.92,3563,0.93,Very Good,I,VS2,Dubai
165,59.0,61.0,5.84,5.88,3.46,2329,0.73,Very Good,I,VS2,Dubai
166,63.0,58.0,7.52,7.65,4.78,10935,1.7,Very Good,I,VS2,Dubai
167,62.7,60.0,7.9,7.96,4.98,15083,1.98,Very Good,I,VS2,Dubai
168,59.7,57.0,8.41,8.48,5.04,16914,2.14,Very Good,I,VS2,Dubai
169,62.0,58.0,7.38,7.43,4.59,8537,1.54,Very Good,I,VS2,Dubai
170,61.6,62.0,7.15,7.1,4.39,7182,1.35,Fair,I,VS2,Dubai
171,57.2,62.0,7.72,7.66,4.4,9784,1.56,Good,I,VS2,Dubai
172,62.3,61.0,4.6,4.61,2.87,648,0.39,Good,I,VS2,Dubai
173,63.6,56.0,8.18,8.12,5.18,14266,2.16,Good,I,VS2,Dubai
174,58.5,62.0,5.99,6.04,3.52,2451,0.79,Good,I,VS2,Dubai
175,64.0,59.0,5.55,5.61,3.57,1748,0.71,Good,I,VS2,Dubai
176,63.6,58.0,6.57,6.52,4.16,5054,1.11,Good,I,VS2,Dubai
177,61.8,56.0,5.39,5.42,3.34,1371,0.59,Ideal,I,VS2,Dubai
178,61.5,55.0,7.18,7.2,4.42,7346,1.37,Ideal,I,VS2,Dubai
179,61.1,55.0,7.48,7.53,4.59,10338,1.58,Ideal,I,VS2,Dubai
180,62.4,58.0,6.82,6.86,4.27,6817,1.23,Ideal,I,VS2,Dubai
181,64.8,55.0,7.91,7.87,5.12,15729,2.01,Ideal,I,VS2,Dubai
182,61.6,54.0,5.35,5.4,3.31,1258,0.57,Ideal,I,VS2,Dubai
183,61.2,58.0,5.88,5.92,3.61,2652,0.78,Ideal,I,VS2,Dubai
184,62.9,56.0,5.98,5.94,3.75,2201,0.83,Ideal,I,VS2,Dubai
185,61.8,55.0,4.85,4.89,3.01,716,0.43,Ideal,I,VS2,Dubai
186,61.8,55.0,7.4,7.44,4.58,11574,1.55,Ideal,I,VS2,Dubai
187,61.2,55.0,4.36,4.4,2.68,421,0.31,Ideal,I,VS2,Dubai
188,61.7,55.0,6.07,6.11,3.76,3475,0.84,Ideal,I,VS2,Dubai
189,61.9,57.0,5.83,5.81,3.6,2374,0.74,Ideal,I,VS2,Dubai
190,62.4,55.0,5.09,5.11,3.18,1110,0.5,Ideal,I,VS2,Dubai
191,62.2,59.0,6.26,6.21,3.88,4750,0.93,Premium,G,VS2,Dubai
192,61.2,58.0,4.46,4.5,2.74,596,0.34,Premium,G,VS2,Dubai
193,61.8,60.0,5.67,5.63,3.49,2479,0.7,Premium,G,VS2,Dubai
194,59.8,59.0,5.16,5.14,3.08,1240,0.49,Premium,G,VS2,Dubai
195,61.2,61.0,7.34,7.29,4.48,12308,1.5,Premium,G,VS2,Dubai
196,59.9,60.0,5.28,5.24,3.15,1435,0.53,Premium,G,VS2,Dubai
197,60.9,57.0,6.65,6.61,4.04,6582,1.06,Premium,G,VS2,Dubai
198,60.8,56.0,6.28,6.21,3.8,4357,0.91,Premium,G,VS2,Dubai
199,60.2,59.0,6.48,6.55,3.92,5759,1.01,Premium,G,VS2,Dubai
200,60.7,58.0,4.38,4.42,2.67,561,0.32,Premium,G,VS2,Dubai
201,61.3,57.0,5.93,5.88,3.62,2803,0.77,Premium,G,VS2,Dubai
202,61.6,60.0,4.47,4.49,2.76,596,0.34,Premium,G,VS2,Dubai
203,61.3,59.0,4.46,4.44,2.73,743,0.33,Premium,G,VS2,Dubai
204,61.1,60.0,6.46,6.37,3.92,5701,1.01,Premium,G,VS2,Dubai
205,61.6,58.0,4.78,4.73,2.93,1061,0.41,Premium,G,VS2,Dubai
206,62.9,54.0,7.31,7.26,4.58,12308,1.5,Premium,G,VS2,Dubai
207,60.9,58.0,4.8,4.83,2.93,827,0.41,Premium,G,VS2,Dubai
208,61.8,59.0,7.45,7.31,4.56,12717,1.53,Premium,G,VS2,Dubai
209,61.6,59.0,5.65,5.64,3.48,2081,0.68,Premium,G,VS2,Dubai
210,63.0,56.0,5.7,5.69,3.59,2735,0.71,Premium,G,VS2,Dubai
211,62.3,58.0,4.36,4.41,2.73,561,0.32,Premium,G,VS2,Dubai
212,61.7,58.0,5.16,5.14,3.18,1577,0.52,Premium,G,VS2,Dubai
213,60.2,60.0,5.58,5.52,3.34,1841,0.62,Premium,G,VS2,Dubai
214,61.2,62.0,6.64,6.6,4.05,6653,1.1,Premium,G,VS2,Dubai
215,61.1,58.0,6.19,6.15,3.77,3400,0.88,Premium,G,VS2,Dubai
216,58.7,62.0,5.36,5.34,3.14,1637,0.54,Premium,G,VS2,Dubai
217,60.6,62.0,6.68,6.58,4.02,6153,1.09,Premium,G,VS2,Dubai
218,61.9,58.0,6.54,6.55,4.05,6779,1.07,Premium,G,VS2,Dubai
219,58.9,61.0,6.88,6.81,4.03,7397,1.19,Premium,G,VS2,Dubai
220,60.1,57.0,6.42,6.35,3.84,6272,1.0,Premium,G,VS2,Dubai
221,61.7,58.0,5.68,5.73,3.52,2317,0.7,Premium,G,VS2,Dubai
222,61.9,60.0,6.55,6.48,4.03,6213,1.07,Premium,G,VS2,Dubai
223,61.9,58.0,6.86,6.74,4.21,7389,1.19,Premium,G,VS2,Dubai
224,61.4,58.0,6.7,6.66,4.1,6534,1.11,Premium,G,VS2,Dubai
225,62.2,58.0,6.85,6.81,4.25,7996,1.21,Premium,G,VS2,Dubai
226,61.9,59.0,4.67,4.7,2.9,772,0.4,Very Good,G,VS2,Dubai
227,63.4,55.0,5.06,5.03,3.2,1443,0.51,Very Good,G,VS2,Dubai
228,63.4,59.0,6.32,6.3,4.0,6169,1.02,Very Good,G,VS2,Dubai
229,60.1,61.0,4.63,4.66,2.79,766,0.38,Very Good,G,VS2,Dubai
230,63.2,57.0,5.54,5.47,3.48,2009,0.65,Very Good,G,VS2,Dubai
231,61.4,59.0,6.42,6.48,3.96,5944,1.01,Very Good,G,VS2,Dubai
232,61.5,60.0,6.13,6.16,3.78,4386,0.9,Very Good,G,VS2,Dubai
233,61.9,56.7,6.57,6.63,4.09,7405,1.1,Very Good,G,VS2,Dubai
234,63.2,58.0,6.11,6.17,3.88,4531,0.9,Very Good,G,VS2,Dubai
235,63.5,54.0,4.28,4.25,2.71,675,0.3,Very Good,G,VS2,Dubai
236,63.0,59.0,6.36,6.4,4.02,5702,1.0,Very Good,G,VS2,Dubai
237,61.7,57.0,6.5,6.57,4.03,6483,1.06,Very Good,G,VS2,Dubai
238,63.1,58.0,5.88,5.84,3.7,2994,0.81,Very Good,G,VS2,Dubai
239,62.2,57.0,6.84,6.88,4.27,8941,1.25,Very Good,G,VS2,Dubai
240,63.5,59.0,7.2,7.13,4.55,12906,1.51,Very Good,G,VS2,Dubai
241,62.2,57.0,5.1,5.15,3.19,1438,0.51,Very Good,G,VS2,Dubai
242,60.5,54.0,6.48,6.57,3.95,6058,1.02,Very Good,G,VS2,Dubai
243,62.5,59.0,7.23,7.27,4.53,12672,1.5,Very Good,G,VS2,Dubai
244,61.6,56.0,5.26,5.3,3.25,1563,0.55,Very Good,G,VS2,Dubai
245,58.9,59.0,7.58,7.61,4.47,13225,1.53,Very Good,G,VS2,Dubai
246,63.1,58.0,6.77,6.71,4.25,7416,1.21,Very Good,G,VS2,Dubai
247,63.2,57.0,6.35,6.3,4.0,5701,1.01,Very Good,G,VS2,Dubai
248,60.1,55.0,6.65,6.73,4.02,6028,1.05,Very Good,G,VS2,Dubai
249,62.5,57.0,7.46,7.49,4.67,13253,1.63,Very Good,G,VS2,Dubai
250,59.4,59.0,6.68,6.63,3.95,6217,1.06,Very Good,G,VS2,Dubai
251,58.8,62.0,4.4,4.41,2.59,471,0.31,Very Good,G,VS2,Dubai
252,62.2,55.0,6.61,6.67,4.13,6593,1.11,Very Good,G,VS2,Dubai
253,61.3,57.0,6.69,6.78,4.13,6500,1.14,Very Good,G,VS2,Dubai
254,64.4,56.0,5.64,5.57,3.61,2657,0.7,Fair,G,VS2,Dubai
255,69.8,54.0,6.03,5.94,4.18,4435,1.0,Fair,G,VS2,Dubai
256,63.4,59.0,4.29,4.32,2.73,544,0.31,Good,G,VS2,Dubai
257,63.7,56.0,6.4,6.32,4.05,5701,1.01,Good,G,VS2,Dubai
258,64.1,55.0,7.94,7.88,5.07,17898,2.0,Good,G,VS2,Dubai
259,63.6,56.0,6.31,6.24,3.99,10181,1.01,Good,G,VS2,Dubai
260,63.5,59.0,5.63,5.67,3.59,2029,0.71,Good,G,VS2,Dubai
261,63.8,59.0,6.34,6.27,4.02,6080,1.02,Good,G,VS2,Dubai
262,59.6,61.5,5.47,5.52,3.27,1821,0.61,Good,G,VS2,Dubai
263,61.9,58.0,6.37,6.43,3.96,6449,1.01,Ideal,G,VS2,Dubai
264,62.3,57.0,5.67,5.7,3.54,2723,0.7,Ideal,G,VS2,Dubai
265,60.7,54.0,7.41,7.48,4.53,13135,1.5,Ideal,G,VS2,Dubai
266,60.8,57.0,6.26,6.17,3.78,4884,0.9,Ideal,G,VS2,Dubai
267,62.0,55.0,5.19,5.13,3.2,1577,0.52,Ideal,G,VS2,Dubai
268,61.7,56.0,4.31,4.35,2.67,526,0.3,Ideal,G,VS2,Dubai
269,60.7,57.0,6.53,6.56,3.97,6793,1.03,Ideal,G,VS2,Dubai
270,61.3,57.0,7.67,7.6,4.68,15941,1.7,Ideal,G,VS2,Dubai
271,61.6,56.0,4.26,4.29,2.63,525,0.29,Ideal,G,VS2,Dubai
272,62.7,56.0,6.61,6.65,4.16,6891,1.13,Ideal,G,VS2,Dubai
273,62.0,56.0,6.77,6.87,4.23,7666,1.21,Ideal,G,VS2,Dubai
274,61.2,56.0,5.16,5.2,3.17,1586,0.52,Ideal,G,VS2,Dubai
275,61.5,57.0,5.7,5.74,3.52,3253,0.7,Ideal,G,VS2,Dubai
276,60.7,55.0,5.41,5.39,3.28,1613,0.57,Ideal,G,VS2,Dubai
277,61.5,55.0,5.76,5.79,3.55,2952,0.72,Ideal,G,VS2,Dubai
278,61.9,56.0,6.68,6.71,4.14,7147,1.13,Ideal,G,VS2,Dubai
279,61.7,56.0,6.44,6.52,4.0,6648,1.02,Ideal,G,VS2,Dubai
280,60.8,57.0,4.61,4.66,2.82,649,0.37,Ideal,G,VS2,Dubai
281,61.9,57.0,7.37,7.3,4.54,13115,1.51,Ideal,G,VS2,Dubai
282,62.0,56.0,5.11,5.18,3.19,1343,0.51,Ideal,G,VS2,Dubai
283,61.0,57.0,6.69,6.72,4.09,7634,1.12,Ideal,G,VS2,Dubai
284,62.4,56.0,5.25,5.23,3.27,1556,0.55,Ideal,G,VS2,Dubai
285,62.2,55.0,7.6,7.57,4.72,9425,1.65,Ideal,G,VS2,Dubai
286,62.4,55.0,4.36,4.39,2.73,524,0.32,Ideal,G,VS2,Dubai
287,62.1,55.0,4.49,4.46,2.78,765,0.34,Ideal,G,VS2,Dubai
288,62.0,56.0,4.73,4.78,2.95,1240,0.4,Ideal,G,VS2,Dubai
289,61.2,55.0,4.69,4.72,2.88,778,0.38,Ideal,G,VS2,Dubai
290,62.1,54.0,4.34,4.36,2.7,511,0.31,Ideal,G,VS2,Dubai
291,62.3,57.0,6.58,6.54,4.09,6558,1.07,Ideal,G,VS2,Dubai
292,61.9,55.0,5.33,5.36,3.31,1761,0.58,Ideal,G,VS2,Dubai
293,61.9,54.0,6.53,6.56,4.05,6809,1.04,Ideal,G,VS2,Dubai
294,61.9,55.0,5.07,5.1,3.15,1450,0.51,Ideal,G,VS2,Dubai
295,62.3,54.0,7.35,7.33,4.57,13828,1.51,Ideal,G,VS2,Dubai
296,62.2,54.0,4.29,4.33,2.68,495,0.3,Ideal,G,VS2,Dubai
297,61.4,56.0,6.88,6.9,4.23,8213,1.22,Ideal,G,VS2,Dubai
298,62.9,57.0,7.68,7.64,4.82,16316,1.74,Ideal,G,VS2,Dubai
299,62.1,56.0,5.29,5.31,3.29,1580,0.56,Ideal,G,VS2,Dubai
300,62.4,55.0,6.62,6.55,4.11,6532,1.08,Ideal,G,VS2,Dubai
301,61.4,55.7,5.43,5.53,3.37,1821,0.61,Ideal,G,VS2,Dubai
302,62.4,57.0,4.48,4.46,2.79,663,0.34,Ideal,G,VS2,Dubai
303,62.6,58.0,4.25,4.28,2.67,545,0.3,Ideal,G,VS2,Dubai
304,59.7,58.0,4.57,4.61,2.74,829,0.35,Premium,D,VS2,Dubai
305,60.3,58.0,4.66,4.63,2.8,933,0.36,Premium,D,VS2,Dubai
306,60.5,58.0,4.6,4.63,2.79,852,0.36,Premium,D,VS2,Dubai
307,62.6,59.0,4.74,4.75,2.97,792,0.41,Premium,D,VS2,Dubai
308,62.7,58.0,5.67,5.53,3.54,2683,0.71,Premium,D,VS2,Dubai
309,59.3,58.0,4.55,4.52,2.69,1033,0.34,Premium,D,VS2,Dubai
310,61.7,59.0,5.87,5.9,3.63,3581,0.76,Premium,D,VS2,Dubai
311,60.5,58.0,4.63,4.6,2.79,1094,0.36,Premium,D,VS2,Dubai
312,61.9,58.0,5.19,5.12,3.19,1818,0.51,Premium,D,VS2,Dubai
313,61.7,58.0,4.3,4.32,2.66,710,0.3,Premium,D,VS2,Dubai
314,59.1,57.0,4.87,4.81,2.86,1050,0.4,Premium,D,VS2,Dubai
